,age_group,race_ethnicity,cases,deaths,prob_death,prob_death_full,prob_death_middle,odds_full,odds_middle
0,0 - 9 Years,"American Indian/Alaska Native, Non-Hispanic",8926,2,4.870968056191488e-05,1.2400631507613324e-08,7.583633903457413e-09,"1 in 80,641,054","1 in 131,862,905"
1,0 - 9 Years,"Black, Non-Hispanic",64642,21,7.062308392847295e-05,1.7979400185452858e-08,1.099534235224373e-08,"1 in 55,619,208","1 in 90,947,600"
2,0 - 9 Years,Hispanic/Latino,136842,29,4.607026955238126e-05,1.1728683694595735e-08,7.172702717168578e-09,"1 in 85,261,060","1 in 139,417,461"
3,0 - 9 Years,"Multiple/Other, Non-Hispanic",46751,6,2.7899891469422186e-05,7.102823693843331e-09,4.343747698803931e-09,"1 in 140,789,078","1 in 230,215,949"
4,0 - 9 Years,"White, Non-Hispanic",221859,44,4.31139480088901e-05,1.0976056010407707e-08,6.71243157541384e-09,"1 in 91,107,407","1 in 148,977,310"
5,0 - 9 Years,,397171,23,1.25890359568045e-05,3.2049480541756573e-09,1.9599931428931117e-09,"1 in 312,017,538","1 in 510,205,867"
6,10 - 19 Years,"American Indian/Alaska Native, Non-Hispanic",18740,4,4.6401559092385505e-05,1.1813024208853417e-08,7.224281347092942e-09,"1 in 84,652,328","1 in 138,422,073"
7,10 - 19 Years,"Asian, Non-Hispanic",35733,9,5.4753917642807345e-05,1.3939388401933908e-08,8.524664120005986e-09,"1 in 71,739,159","1 in 117,306,675"
8,10 - 19 Years,"Black, Non-Hispanic",129927,48,8.031265717437987e-05,2.0446195818320723e-08,1.2503916732736544e-08,"1 in 48,908,854","1 in 79,974,941"
9,10 - 19 Years,Hispanic/Latino,282124,56,4.315093024158973e-05,1.0985471039099057e-08,6.718189357244702e-09,"1 in 91,029,324","1 in 148,849,630"
10,10 - 19 Years,"Multiple/Other, Non-Hispanic",94194,16,3.6926565063222896e-05,9.40085668615466e-09,5.749114909421905e-09,"1 in 106,373,284","1 in 173,939,818"
11,10 - 19 Years,"Native Hawaiian/Other Pacific Islander, Non-Hispanic",4484,2,9.696311523096615e-05,2.4685110802175854e-08,1.5096234661521158e-08,"1 in 40,510,250","1 in 66,241,684"
12,10 - 19 Years,"White, Non-Hispanic",649931,67,2.241040570661247e-05,5.705296768484722e-09,3.4890869853041925e-09,"1 in 175,275,720","1 in 286,607,930"
13,10 - 19 Years,,957080,59,1.3401269440926296e-05,3.411728472740228e-09,2.0864501698465076e-09,"1 in 293,106,561","1 in 479,282,954"
14,20 - 29 Years,"American Indian/Alaska Native, Non-Hispanic",26042,41,0.00034225648868216227,8.713250730195871e-08,5.328607950834605e-08,"1 in 11,476,773","1 in 18,766,627"
15,20 - 29 Years,"Asian, Non-Hispanic",83841,36,9.334438945768465e-05,2.3763846603275454e-08,1.4532833482433362e-08,"1 in 42,080,729","1 in 68,809,706"
16,20 - 29 Years,"Black, Non-Hispanic",253353,332,0.00028487490988256806,7.252416239371464e-08,4.43523135423512e-08,"1 in 13,788,508","1 in 22,546,738"
17,20 - 29 Years,Hispanic/Latino,463305,315,0.0001478038459968384,3.7628270365786365e-08,2.3011652809717327e-08,"1 in 26,575,763","1 in 43,456,244"
18,20 - 29 Years,"Multiple/Other, Non-Hispanic",159161,63,8.604904577071671e-05,2.1906579880524313e-08,1.3397017868706637e-08,"1 in 45,648,385","1 in 74,643,477"
19,20 - 29 Years,"Native Hawaiian/Other Pacific Islander, Non-Hispanic",8069,7,0.0001885907956915086,4.801191336340908e-08,2.9361792883617926e-08,"1 in 20,828,164","1 in 34,057,866"
20,20 - 29 Years,"White, Non-Hispanic",1095381,352,6.985855983482896e-05,1.778476574206084e-08,1.0876313223543143e-08,"1 in 56,227,898","1 in 91,942,920"
21,20 - 29 Years,,1745942,451,5.615506028314204e-05,1.4296094776764462e-08,8.742808700472196e-09,"1 in 69,949,173","1 in 114,379,719"
22,30 - 39 Years,"American Indian/Alaska Native, Non-Hispanic",25721,110,0.000929708933488623,2.366876103585634e-07,1.4474683691241974e-07,"1 in 4,224,978","1 in 6,908,614"
23,30 - 39 Years,"Asian, Non-Hispanic",80384,139,0.00037591300886181115,9.570086783649083e-08,5.852607953631482e-08,"1 in 10,449,226","1 in 17,086,400"
24,30 - 39 Years,"Black, Non-Hispanic",248562,778,0.0006804356047288351,1.732269869472248e-07,1.059373508841234e-07,"1 in 5,772,773","1 in 9,439,541"
25,30 - 39 Years,Hispanic/Latino,427640,910,0.00046259958599878813,1.177697520363278e-07,7.202235497411069e-08,"1 in 8,491,145","1 in 13,884,578"
