"Monthly age-standardised mortality rates by vaccination status for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"									
This worksheet contains 1 table.									
"Source: Source: Office for National Statistics, National Immunisation Management Service."									
Cause of Death	Year	Month	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
All causes	2021	January	Unvaccinated	52459	3050246	2507.6		2485.3	2530.0
All causes	2021	January	"First dose, less than 21 days ago"	7583	221773	1333.2		424.8	2241.6
All causes	2021	January	"First dose, at least 21 days ago"	2365	35929	1718.7		1542.6	1894.8
All causes	2021	January	"Second dose, less than 21 days ago"	433	23304	265.5		183.7	347.3
All causes	2021	January	"Second dose, between 21 days and 6 months ago"	82	4050	166.1		131.4	206.9
All causes	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
All causes	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	Ever vaccinated	10463	285056	1251.8		504.6	1999
All causes	2021	February	Unvaccinated	19800	2152780	5261.5		5172.9	5350.1
All causes	2021	February	"First dose, less than 21 days ago"	7349	451058	1005.8		978.4	1033.2
All causes	2021	February	"First dose, at least 21 days ago"	14302	373179	1039.9		1013.8	1065.9
All causes	2021	February	"Second dose, less than 21 days ago"	44	3334	704.7		475.6	991.7
All causes	2021	February	"Second dose, between 21 days and 6 months ago"	904	31409	455.0		336.2	573.8
All causes	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
All causes	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	Ever vaccinated	22599	858980	905.7		890.4	920.9
All causes	2021	March	Unvaccinated	7622	1760561	3307.8		3219.6	3396.0
All causes	2021	March	"First dose, less than 21 days ago"	1871	440892	2064.7		1841.3	2288.1
All causes	2021	March	"First dose, at least 21 days ago"	23073	1018489	1001.5		985.7	1017.4
All causes	2021	March	"Second dose, less than 21 days ago"	1336	69498	528.9		485.5	572.2
All causes	2021	March	"Second dose, between 21 days and 6 months ago"	1340	45212	597.6		504.0	691.2
All causes	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
All causes	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	March	Ever vaccinated	27620	1574091	901.7		831.1	972.2
All causes	2021	April	Unvaccinated	3850	1342265	2298.4		2216.3	2380.6
All causes	2021	April	"First dose, less than 21 days ago"	436	192744	2074.1		1810.2	2337.9
All causes	2021	April	"First dose, at least 21 days ago"	16352	1129337	1720.3		1690.7	1749.8
All causes	2021	April	"Second dose, less than 21 days ago"	5393	365753	497.3		479.6	515.1
All causes	2021	April	"Second dose, between 21 days and 6 months ago"	5825	196885	748.0		713.7	782.3
All causes	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
All causes	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	April	Ever vaccinated	28006	1884719	868.3		857.4	879.1
All causes	2021	May	Unvaccinated	2810	1192047	1718.8		1646.7	1790.9
All causes	2021	May	"First dose, less than 21 days ago"	143	145992	1747.5		1365.0	2130.1
All causes	2021	May	"First dose, at least 21 days ago"	7871	731409	5166.1		5029.0	5303.2
All causes	2021	May	"Second dose, less than 21 days ago"	3222	469323	802.6		769.6	835.5
All causes	2021	May	"Second dose, between 21 days and 6 months ago"	18852	793018	866.4		716.5	1016.3
All causes	2021	May	"Second dose, at least 6 months ago"	0	0	x		x	x
All causes	2021	May	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	May	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	May	Ever vaccinated	30088	2139742	901.6		861.6	941.6
All causes	2021	June	Unvaccinated	2339	912365	1589.7		1517.7	1661.7
All causes	2021	June	"First dose, less than 21 days ago"	86	167751	1310.0		927.3	1759.4
All causes	2021	June	"First dose, at least 21 days ago"	3497	371872	6445.0		6198.9	6691.0
All causes	2021	June	"Second dose, less than 21 days ago"	909	350959	1496.5		1364.1	1628.9
All causes	2021	June	"Second dose, between 21 days and 6 months ago"	24431	1418715	808.5		797.0	820.0
All causes	2021	June	"Second dose, at least 6 months ago"	0	24	x		x	x
All causes	2021	June	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	June	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	June	Ever vaccinated	28923	2309320	878.9		847	910.8
All causes	2021	July	Unvaccinated	2347	756390	1610.7		1538.5	1682.8
All causes	2021	July	"First dose, less than 21 days ago"	53	107953	892.0		514.6	1355.3
All causes	2021	July	"First dose, at least 21 days ago"	2210	367172	6144.6		5859.8	6429.5
All causes	2021	July	"Second dose, less than 21 days ago"	289	167400	1797.3		1534.8	2059.8
All causes	2021	July	"Second dose, between 21 days and 6 months ago"	29199	1901584	925.4		914.1	936.7
All causes	2021	July	"Second dose, at least 6 months ago"	1142	25778	547.8		430.5	665.2
All causes	2021	July	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	July	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	July	Ever vaccinated	32893	2569887	944.6		934.3	954.9
All causes	2021	August	Unvaccinated	2354	698750	1711.6		1635.8	1787.4
All causes	2021	August	"First dose, less than 21 days ago"	38	36133	2264.6		1464.2	3284.6
All causes	2021	August	"First dose, at least 21 days ago"	1470	262864	4887.7		4611.5	5163.8
All causes	2021	August	"Second dose, less than 21 days ago"	115	157735	1499.0		1139.4	1858.6
All causes	2021	August	"Second dose, between 21 days and 6 months ago"	29519	2129533	949.4		907.9	990.9
All causes	2021	August	"Second dose, at least 6 months ago"	1627	38263	740.0		628.7	851.4
All causes	2021	August	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	August	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	August	Ever vaccinated	32769	2624527	942.5		925.7	959.3
All causes	2021	September	Unvaccinated	2172	627309	1664.5		1588.3	1740.7
All causes	2021	September	"First dose, less than 21 days ago"	15	30311	760.6	u	249.3	1514.5
