"Monthly age-standardised mortality rates by vaccination status by age group for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
All causes	2021	January	18-39	Unvaccinated	628	919697	70.1		64.6	75.6
All causes	2021	January	18-39	"First dose, less than 21 days ago"	13	26534	46.1	u	24.4	78.9
All causes	2021	January	18-39	"First dose, at least 21 days ago"	4	4653	119.9	u	13.7	347.7
All causes	2021	January	18-39	"Second dose, less than 21 days ago"	<3	1298	x		x	x
All causes	2021	January	18-39	"Second dose, at least 21 days ago"	<3	245	x		x	x
All causes	2021	January	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	40-49	Unvaccinated	1043	447217	231.3		217.3	245.4
All causes	2021	January	40-49	"First dose, less than 21 days ago"	15	19145	75.8	u	42.3	125.1
All causes	2021	January	40-49	"First dose, at least 21 days ago"	3	3808	77.0	u	15.6	225.6
All causes	2021	January	40-49	"Second dose, less than 21 days ago"	<3	1241	x		x	x
All causes	2021	January	40-49	"Second dose, at least 21 days ago"	<3	230	x		x	x
All causes	2021	January	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	50-59	Unvaccinated	3013	513202	582.9		562.1	603.7
All causes	2021	January	50-59	"First dose, less than 21 days ago"	56	25011	222.1		167.7	288.5
All causes	2021	January	50-59	"First dose, at least 21 days ago"	14	4933	280.6	u	153.3	470.9
All causes	2021	January	50-59	"Second dose, less than 21 days ago"	3	1657	177.7	u	36.4	520.0
All causes	2021	January	50-59	"Second dose, at least 21 days ago"	<3	309	x		x	x
All causes	2021	January	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	60-69	Unvaccinated	6470	424476	1531.1		1493.8	1568.4
All causes	2021	January	60-69	"First dose, less than 21 days ago"	189	15399	1345.7		1150.5	1540.9
All causes	2021	January	60-69	"First dose, at least 21 days ago"	20	2548	1112.3		663.1	1740.8
All causes	2021	January	60-69	"Second dose, less than 21 days ago"	3	877	256.0	u	52.8	748.0
All causes	2021	January	60-69	"Second dose, at least 21 days ago"	<3	157	x		x	x
All causes	2021	January	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	70-79	Unvaccinated	12923	303782	4499.2		4420.7	4577.7
All causes	2021	January	70-79	"First dose, less than 21 days ago"	1038	54364	1796.7		1673.2	1920.1
All causes	2021	January	70-79	"First dose, at least 21 days ago"	161	2143	7396.7		6052.4	8741.1
All causes	2021	January	70-79	"Second dose, less than 21 days ago"	4	626	588.5	u	111.2	1612.3
All causes	2021	January	70-79	"Second dose, at least 21 days ago"	<3	77	x		x	x
All causes	2021	January	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	80-89	Unvaccinated	17361	73510	23444.6		23095.8	23793.5
All causes	2021	January	80-89	"First dose, less than 21 days ago"	3571	67433	5293.7		5120.1	5467.3
All causes	2021	January	80-89	"First dose, at least 21 days ago"	1329	14946	8832.4		8357.5	9307.4
All causes	2021	January	80-89	"Second dose, less than 21 days ago"	286	15116	1899.2		1679.1	2119.4
All causes	2021	January	80-89	"Second dose, at least 21 days ago"	53	2596	2048.5		1534.4	2679.5
All causes	2021	January	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	January	90+	Unvaccinated	10993	18496	59435.6		58329.7	60557.3
All causes	2021	January	90+	"First dose, less than 21 days ago"	2700	13696	19713.1		18976.4	20471.0
All causes	2021	January	90+	"First dose, at least 21 days ago"	834	2868	29079.0		27138.6	31121.4
All causes	2021	January	90+	"Second dose, less than 21 days ago"	137	2480	5523.9		4637.6	6530.2
All causes	2021	January	90+	"Second dose, at least 21 days ago"	29	435	6669.5		4465.7	9579.0
All causes	2021	January	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
All causes	2021	January	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
All causes	2021	February	18-39	Unvaccinated	394	775097	52.3		47.1	57.5
