"Monthly age-standardised mortality rates by vaccination status by sex for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Sex	Cause of Death	Year	Month	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Female	All causes	2021	January	Unvaccinated	25854	1555765	2133.3		2106.7	2159.8
Female	All causes	2021	January	"First dose, less than 21 days ago"	4245	140849	727.9		693.1	762.8
Female	All causes	2021	January	"First dose, at least 21 days ago"	1164	23287	1309.5		1140.8	1478.2
Female	All causes	2021	January	"Second dose, less than 21 days ago"	186	13547	200.3		127.6	272.9
Female	All causes	2021	January	"Second dose, between 21 days and 6 months ago"	38	2351	142.4		100.4	196.1
Female	All causes	2021	January	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	All causes	2021	January	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	Ever vaccinated	5633	180035	713.5		682.2	744.8
Female	All causes	2021	February	Unvaccinated	9499	1060900	4444.3		4340.0	4548.6
Female	All causes	2021	February	"First dose, less than 21 days ago"	3757	252576	854.6		822.7	886.5
Female	All causes	2021	February	"First dose, at least 21 days ago"	7646	233342	852.3		824.5	880.1
Female	All causes	2021	February	"Second dose, less than 21 days ago"	25	2269	721.5		414.5	1135.9
Female	All causes	2021	February	"Second dose, between 21 days and 6 months ago"	392	18298	344.7		210.4	479.0
Female	All causes	2021	February	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	All causes	2021	February	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	Ever vaccinated	11820	506485	768.4		751	785.7
Female	All causes	2021	March	Unvaccinated	3691	848503	2938.1		2829.3	3046.9
Female	All causes	2021	March	"First dose, less than 21 days ago"	865	228449	1901.6		1495.1	2308.1
Female	All causes	2021	March	"First dose, at least 21 days ago"	11932	585571	854.9		837.2	872.5
Female	All causes	2021	March	"Second dose, less than 21 days ago"	740	45583	450.3		400.4	500.3
Female	All causes	2021	March	"Second dose, between 21 days and 6 months ago"	601	27268	424.9		328.7	521.2
Female	All causes	2021	March	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	All causes	2021	March	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	March	Ever vaccinated	14138	886871	807.3		685.6	929
Female	All causes	2021	April	Unvaccinated	1894	641652	2093.1		1990.2	2196.1
Female	All causes	2021	April	"First dose, less than 21 days ago"	203	94768	1949.3		1613.6	2284.9
Female	All causes	2021	April	"First dose, at least 21 days ago"	8124	599836	1487.8		1452.8	1522.9
Female	All causes	2021	April	"Second dose, less than 21 days ago"	2866	217916	423.1		403.5	442.6
Female	All causes	2021	April	"Second dose, between 21 days and 6 months ago"	3053	125114	622.9		587.0	658.8
Female	All causes	2021	April	"Second dose, at least 6 months ago"	0	0	x		x	x
Female	All causes	2021	April	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	April	Ever vaccinated	14246	1037635	756.9		743.7	770.1
Female	All causes	2021	May	Unvaccinated	1371	569645	1590.0		1498.2	1681.8
Female	All causes	2021	May	"First dose, less than 21 days ago"	60	70040	1614.9		1159.8	2166.5
Female	All causes	2021	May	"First dose, at least 21 days ago"	3853	370188	4395.4		4232.6	4558.2
Female	All causes	2021	May	"Second dose, less than 21 days ago"	1458	251194	649.8		612.1	687.5
Female	All causes	2021	May	"Second dose, between 21 days and 6 months ago"	9682	472810	657.1		639.4	674.8
