"Monthly age-standardised mortality rates by vaccination status by age group by sex for all cause deaths and deaths involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"											
This worksheet contains 1 table.											
"Source: Source: Office for National Statistics, National Immunisation Management Service."											
Sex	Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Female	All causes	2021	January	18-39	Unvaccinated	253	465171	55.0		48.2	61.8
Female	All causes	2021	January	18-39	"First dose, less than 21 days ago"	8	20053	38.2	u	16.3	75.5
Female	All causes	2021	January	18-39	"First dose, at least 21 days ago"	<3	3502	x		x	x
Female	All causes	2021	January	18-39	"Second dose, less than 21 days ago"	<3	949	x		x	x
Female	All causes	2021	January	18-39	"Second dose, at least 21 days ago"	<3	179	x		x	x
Female	All causes	2021	January	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	40-49	Unvaccinated	461	229636	199.5		181.3	217.7
Female	All causes	2021	January	40-49	"First dose, less than 21 days ago"	7	14577	44.3	u	17.8	91.3
Female	All causes	2021	January	40-49	"First dose, at least 21 days ago"	<3	2890	x		x	x
Female	All causes	2021	January	40-49	"Second dose, less than 21 days ago"	<3	890	x		x	x
Female	All causes	2021	January	40-49	"Second dose, at least 21 days ago"	<3	165	x		x	x
Female	All causes	2021	January	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	50-59	Unvaccinated	1232	258383	473.3		446.9	499.8
Female	All causes	2021	January	50-59	"First dose, less than 21 days ago"	25	19014	131.3		84.9	193.9
Female	All causes	2021	January	50-59	"First dose, at least 21 days ago"	7	3833	175.2	u	70.4	360.9
Female	All causes	2021	January	50-59	"Second dose, less than 21 days ago"	3	1235	238.7	u	49.0	698.2
Female	All causes	2021	January	50-59	"Second dose, at least 21 days ago"	<3	231	x		x	x
Female	All causes	2021	January	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	60-69	Unvaccinated	2609	215064	1215.7		1169.0	1262.3
Female	All causes	2021	January	60-69	"First dose, less than 21 days ago"	78	10298	848.5		664.3	1066.5
Female	All causes	2021	January	60-69	"First dose, at least 21 days ago"	6	1835	591.0	u	216.9	1286.3
Female	All causes	2021	January	60-69	"Second dose, less than 21 days ago"	<3	608	x		x	x
Female	All causes	2021	January	60-69	"Second dose, at least 21 days ago"	<3	109	x		x	x
Female	All causes	2021	January	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	70-79	Unvaccinated	5544	159887	3651.6		3554.6	3748.7
Female	All causes	2021	January	70-79	"First dose, less than 21 days ago"	456	29105	1469.1		1317.0	1621.2
Female	All causes	2021	January	70-79	"First dose, at least 21 days ago"	75	1194	5666.1		4262.6	7333.2
Female	All causes	2021	January	70-79	"Second dose, less than 21 days ago"	<3	370	x		x	x
Female	All causes	2021	January	70-79	"Second dose, at least 21 days ago"	<3	47	x		x	x
Female	All causes	2021	January	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	80-89	Unvaccinated	8769	43517	19776.2		19361.4	20190.9
Female	All causes	2021	January	80-89	"First dose, less than 21 days ago"	1820	38417	4675.7		4460.8	4890.7
Female	All causes	2021	January	80-89	"First dose, at least 21 days ago"	601	8186	7239.7		6660.4	7819.1
Female	All causes	2021	January	80-89	"Second dose, less than 21 days ago"	117	8027	1460.2		1195.6	1724.8
Female	All causes	2021	January	80-89	"Second dose, at least 21 days ago"	22	1364	1615.3		1012.3	2445.5
Female	All causes	2021	January	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	90+	Unvaccinated	6977	12866	54227.9		52962.8	55515.6
Female	All causes	2021	January	90+	"First dose, less than 21 days ago"	1851	9247	20017.1		19115.4	20950.3
Female	All causes	2021	January	90+	"First dose, at least 21 days ago"	471	1825	25803.7		23525.6	28242.8
Female	All causes	2021	January	90+	"Second dose, less than 21 days ago"	63	1463	4305.6		3308.4	5508.9
Female	All causes	2021	January	90+	"Second dose, at least 21 days ago"	16	254	6287.6	u	3591.5	10211.3
Female	All causes	2021	January	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	January	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	18-39	Unvaccinated	157	381759	41.9		35.3	48.5
Female	All causes	2021	February	18-39	"First dose, less than 21 days ago"	19	26675	72.5	u	42.9	114.3
Female	All causes	2021	February	18-39	"First dose, at least 21 days ago"	16	31814	46.9	u	26.8	76.2
Female	All causes	2021	February	18-39	"Second dose, less than 21 days ago"	<3	504	x		x	x
Female	All causes	2021	February	18-39	"Second dose, at least 21 days ago"	<3	1312	x		x	x
Female	All causes	2021	February	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	40-49	Unvaccinated	301	179226	167.4		148.5	186.3
Female	All causes	2021	February	40-49	"First dose, less than 21 days ago"	29	19920	141.2		94.3	202.6
Female	All causes	2021	February	40-49	"First dose, at least 21 days ago"	20	22969	86.2		52.5	133.3
Female	All causes	2021	February	40-49	"Second dose, less than 21 days ago"	<3	449	x		x	x
Female	All causes	2021	February	40-49	"Second dose, at least 21 days ago"	<3	1235	x		x	x
Female	All causes	2021	February	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	50-59	Unvaccinated	778	191442	404.3		375.9	432.7
Female	All causes	2021	February	50-59	"First dose, less than 21 days ago"	104	31268	323.0		260.5	385.5
Female	All causes	2021	February	50-59	"First dose, at least 21 days ago"	92	30359	300.5		242.2	368.6
Female	All causes	2021	February	50-59	"Second dose, less than 21 days ago"	<3	619	x		x	x
Female	All causes	2021	February	50-59	"Second dose, at least 21 days ago"	<3	1715	x		x	x
Female	All causes	2021	February	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	60-69	Unvaccinated	1505	123897	1324.0		1255.5	1392.5
Female	All causes	2021	February	60-69	"First dose, less than 21 days ago"	307	62272	485.2		425.9	544.5
Female	All causes	2021	February	60-69	"First dose, at least 21 days ago"	158	18799	913.1		769.1	1057.1
Female	All causes	2021	February	60-69	"Second dose, less than 21 days ago"	<3	308	x		x	x
Female	All causes	2021	February	60-69	"Second dose, at least 21 days ago"	<3	854	x		x	x
Female	All causes	2021	February	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	70-79	Unvaccinated	2224	21948	13008.7		12423.3	13594.1
Female	All causes	2021	February	70-79	"First dose, less than 21 days ago"	973	90772	1156.4		1082.4	1230.3
Female	All causes	2021	February	70-79	"First dose, at least 21 days ago"	998	58990	1549.3		1448.2	1650.4
Female	All causes	2021	February	70-79	"Second dose, less than 21 days ago"	<3	117	x		x	x
Female	All causes	2021	February	70-79	"Second dose, at least 21 days ago"	5	499	1282.2	u	351.7	3119.8
Female	All causes	2021	February	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Female	All causes	2021	February	80-89	Unvaccinated	2648	5954	43362.1		41696.9	45027.3
Female	All causes	2021	February	80-89	"First dose, less than 21 days ago"	1231	16398	7373.8		6961.3	7786.4
