"Whole period counts of all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, and person-years by vaccination status and five-year age group, England, deaths occurring between 1 January 2021 and 31 May 2022"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Age group	Vaccination status	Person-years	Count of deaths involving COVID-19	Count of deaths non-COVID-19 deaths	Count of all cause deaths
10-14	Unvaccinated	2881265	9	175	184
10-14	"First dose, less than 21 days ago"	61754	2	2	4
10-14	"First dose, at least 21 days ago"	280645	0	14	14
10-14	"Second dose, less than 21 days ago"	36646	0	0	0
10-14	"Second dose, between 21 days and 6 months ago"	135989	0	13	13
10-14	"Second dose, at least 6 months ago"	1028	0	1	1
10-14	"Third dose or booster, less than 21 days ago"	723	0	1	1
10-14	"Third dose or booster, at least 21 days ago"	2422	1	6	7
15-19	Unvaccinated	1991761	24	265	289
15-19	"First dose, less than 21 days ago"	115758	0	13	13
15-19	"First dose, at least 21 days ago"	465610	2	79	81
15-19	"Second dose, less than 21 days ago"	97554	1	3	4
15-19	"Second dose, between 21 days and 6 months ago"	520292	2	74	76
15-19	"Second dose, at least 6 months ago"	63581	0	23	23
15-19	"Third dose or booster, less than 21 days ago"	35398	1	2	3
15-19	"Third dose or booster, at least 21 days ago"	160272	1	31	32
20-24	Unvaccinated	1531301	43	335	378
20-24	"First dose, less than 21 days ago"	116923	1	21	22
20-24	"First dose, at least 21 days ago"	342619	5	104	109
20-24	"Second dose, less than 21 days ago"	110074	0	20	20
20-24	"Second dose, between 21 days and 6 months ago"	710759	4	151	155
20-24	"Second dose, at least 6 months ago"	209425	2	41	43
20-24	"Third dose or booster, less than 21 days ago"	67390	0	12	12
20-24	"Third dose or booster, at least 21 days ago"	414003	4	48	52
25-29	Unvaccinated	1567892	68	525	593
25-29	"First dose, less than 21 days ago"	117976	2	30	32
25-29	"First dose, at least 21 days ago"	339758	5	145	150
25-29	"Second dose, less than 21 days ago"	112913	0	19	19
25-29	"Second dose, between 21 days and 6 months ago"	748987	11	189	200
25-29	"Second dose, at least 6 months ago"	228001	3	92	95
25-29	"Third dose or booster, less than 21 days ago"	73969	0	7	7
25-29	"Third dose or booster, at least 21 days ago"	475006	5	95	100
30-34	Unvaccinated	1432230	129	649	778
30-34	"First dose, less than 21 days ago"	116485	3	46	49
30-34	"First dose, at least 21 days ago"	330087	9	222	231
30-34	"Second dose, less than 21 days ago"	112049	0	22	22
30-34	"Second dose, between 21 days and 6 months ago"	757164	10	297	307
30-34	"Second dose, at least 6 months ago"	219824	13	116	129
30-34	"Third dose or booster, less than 21 days ago"	77326	1	15	16
30-34	"Third dose or booster, at least 21 days ago"	510682	4	168	172
35-39	Unvaccinated	1351742	238	903	1141
35-39	"First dose, less than 21 days ago"	126946	9	62	71
35-39	"First dose, at least 21 days ago"	341664	15	364	379
35-39	"Second dose, less than 21 days ago"	123317	1	45	46
35-39	"Second dose, between 21 days and 6 months ago"	853238	24	463	487
35-39	"Second dose, at least 6 months ago"	225736	11	183	194
35-39	"Third dose or booster, less than 21 days ago"	91720	1	28	29
35-39	"Third dose or booster, at least 21 days ago"	620364	10	265	275
40-44	Unvaccinated	1158559	299	1225	1524
40-44	"First dose, less than 21 days ago"	133705	3	79	82
40-44	"First dose, at least 21 days ago"	354401	13	557	570
40-44	"Second dose, less than 21 days ago"	131852	0	75	75
40-44	"Second dose, between 21 days and 6 months ago"	951898	40	865	905
40-44	"Second dose, at least 6 months ago"	226923	39	344	383
40-44	"Third dose or booster, less than 21 days ago"	105778	1	44	45
40-44	"Third dose or booster, at least 21 days ago"	745195	25	516	541
45-49	Unvaccinated	1015441	597	1965	2562
45-49	"First dose, less than 21 days ago"	147654	13	166	179
45-49	"First dose, at least 21 days ago"	390029	39	926	965
45-49	"Second dose, less than 21 days ago"	144704	1	145	146
45-49	"Second dose, between 21 days and 6 months ago"	1056962	65	1556	1621
45-49	"Second dose, at least 6 months ago"	222412	60	563	623
45-49	"Third dose or booster, less than 21 days ago"	119884	6	85	91
45-49	"Third dose or booster, at least 21 days ago"	854328	39	975	1014
50-54	Unvaccinated	892001	1069	3014	4083
50-54	"First dose, less than 21 days ago"	170638	21	250	271
50-54	"First dose, at least 21 days ago"	461101	66	1640	1706
50-54	"Second dose, less than 21 days ago"	169954	0	225	225
50-54	"Second dose, between 21 days and 6 months ago"	1281727	120	2926	3046
50-54	"Second dose, at least 6 months ago"	239007	110	1161	1271
50-54	"Third dose or booster, less than 21 days ago"	149814	5	160	165
