"Monthly counts of all registered deaths for 'unvaccinated' and 'ever vaccinated' by age group; for all deaths and deaths involving COVID-19, deaths occurring between 1 January 2021 and 31 May 2022, England"					
This worksheet contains 1 table.					
"Source: Source: Office for National Statistics, National Immunisation Management Service."					
Cause of Death	Year	Month	Age group	Vaccination status	Count of Deaths
All causes	2021	January	10-39	Unvaccinated	969
All causes	2021	January	10-39	Ever vaccinated	17
All causes	2021	January	40-49	Unvaccinated	1574
All causes	2021	January	40-49	Ever vaccinated	24
All causes	2021	January	50-59	Unvaccinated	3954
All causes	2021	January	50-59	Ever vaccinated	79
All causes	2021	January	60-69	Unvaccinated	7785
All causes	2021	January	60-69	Ever vaccinated	243
All causes	2021	January	70-79	Unvaccinated	14949
All causes	2021	January	70-79	Ever vaccinated	1350
All causes	2021	January	80-89	Unvaccinated	19700
All causes	2021	January	80-89	Ever vaccinated	5906
All causes	2021	January	90+	Unvaccinated	12438
All causes	2021	January	90+	Ever vaccinated	4189
All causes	2021	February	10-39	Unvaccinated	673
All causes	2021	February	10-39	Ever vaccinated	84
All causes	2021	February	40-49	Unvaccinated	1031
All causes	2021	February	40-49	Ever vaccinated	136
All causes	2021	February	50-59	Unvaccinated	2625
All causes	2021	February	50-59	Ever vaccinated	466
All causes	2021	February	60-69	Unvaccinated	4547
All causes	2021	February	60-69	Ever vaccinated	1297
All causes	2021	February	70-79	Unvaccinated	5869
All causes	2021	February	70-79	Ever vaccinated	5267
All causes	2021	February	80-89	Unvaccinated	5848
All causes	2021	February	80-89	Ever vaccinated	10816
All causes	2021	February	90+	Unvaccinated	3345
All causes	2021	February	90+	Ever vaccinated	7421
All causes	2021	March	10-39	Unvaccinated	577
All causes	2021	March	10-39	Ever vaccinated	173
All causes	2021	March	40-49	Unvaccinated	708
All causes	2021	March	40-49	Ever vaccinated	358
All causes	2021	March	50-59	Unvaccinated	1528
All causes	2021	March	50-59	Ever vaccinated	1204
All causes	2021	March	60-69	Unvaccinated	2018
All causes	2021	March	60-69	Ever vaccinated	2814
All causes	2021	March	70-79	Unvaccinated	1946
All causes	2021	March	70-79	Ever vaccinated	7535
All causes	2021	March	80-89	Unvaccinated	1945
All causes	2021	March	80-89	Ever vaccinated	11630
All causes	2021	March	90+	Unvaccinated	1066
All causes	2021	March	90+	Ever vaccinated	7569
All causes	2021	April	10-39	Unvaccinated	477
All causes	2021	April	10-39	Ever vaccinated	277
All causes	2021	April	40-49	Unvaccinated	495
All causes	2021	April	40-49	Ever vaccinated	470
All causes	2021	April	50-59	Unvaccinated	752
All causes	2021	April	50-59	Ever vaccinated	1625
All causes	2021	April	60-69	Unvaccinated	988
All causes	2021	April	60-69	Ever vaccinated	3368
All causes	2021	April	70-79	Unvaccinated	964
All causes	2021	April	70-79	Ever vaccinated	7649
All causes	2021	April	80-89	Unvaccinated	1015
All causes	2021	April	80-89	Ever vaccinated	11360
All causes	2021	April	90+	Unvaccinated	521
All causes	2021	April	90+	Ever vaccinated	7181
All causes	2021	May	10-39	Unvaccinated	425
All causes	2021	May	10-39	Ever vaccinated	263
All causes	2021	May	40-49	Unvaccinated	404
All causes	2021	May	40-49	Ever vaccinated	637
All causes	2021	May	50-59	Unvaccinated	576
All causes	2021	May	50-59	Ever vaccinated	1863
All causes	2021	May	60-69	Unvaccinated	731
All causes	2021	May	60-69	Ever vaccinated	3715
All causes	2021	May	70-79	Unvaccinated	759
All causes	2021	May	70-79	Ever vaccinated	8078
All causes	2021	May	80-89	Unvaccinated	674
All causes	2021	May	80-89	Ever vaccinated	12182
All causes	2021	May	90+	Unvaccinated	380
All causes	2021	May	90+	Ever vaccinated	7672
All causes	2021	June	10-39	Unvaccinated	371
All causes	2021	June	10-39	Ever vaccinated	307
All causes	2021	June	40-49	Unvaccinated	355
All causes	2021	June	40-49	Ever vaccinated	647
All causes	2021	June	50-59	Unvaccinated	514
All causes	2021	June	50-59	Ever vaccinated	1825
All causes	2021	June	60-69	Unvaccinated	546
All causes	2021	June	60-69	Ever vaccinated	3746
All causes	2021	June	70-79	Unvaccinated	622
All causes	2021	June	70-79	Ever vaccinated	8109
All causes	2021	June	80-89	Unvaccinated	592
All causes	2021	June	80-89	Ever vaccinated	11617
All causes	2021	June	90+	Unvaccinated	343
All causes	2021	June	90+	Ever vaccinated	6936
All causes	2021	July	10-39	Unvaccinated	327
All causes	2021	July	10-39	Ever vaccinated	446
All causes	2021	July	40-49	Unvaccinated	332
All causes	2021	July	40-49	Ever vaccinated	801
All causes	2021	July	50-59	Unvaccinated	556
All causes	2021	July	50-59	Ever vaccinated	2102
All causes	2021	July	60-69	Unvaccinated	595
All causes	2021	July	60-69	Ever vaccinated	4174
All causes	2021	July	70-79	Unvaccinated	592
All causes	2021	July	70-79	Ever vaccinated	9107
All causes	2021	July	80-89	Unvaccinated	669
All causes	2021	July	80-89	Ever vaccinated	12966
All causes	2021	July	90+	Unvaccinated	368
All causes	2021	July	90+	Ever vaccinated	8106
All causes	2021	August	10-39	Unvaccinated	303
All causes	2021	August	10-39	Ever vaccinated	406
All causes	2021	August	40-49	Unvaccinated	317
All causes	2021	August	40-49	Ever vaccinated	723
All causes	2021	August	50-59	Unvaccinated	548
All causes	2021	August	50-59	Ever vaccinated	2026
All causes	2021	August	60-69	Unvaccinated	591
All causes	2021	August	60-69	Ever vaccinated	4207
All causes	2021	August	70-79	Unvaccinated	666
All causes	2021	August	70-79	Ever vaccinated	9085
All causes	2021	August	80-89	Unvaccinated	644
All causes	2021	August	80-89	Ever vaccinated	12834
All causes	2021	August	90+	Unvaccinated	376
All causes	2021	August	90+	Ever vaccinated	8207
All causes	2021	September	10-39	Unvaccinated	273
All causes	2021	September	10-39	Ever vaccinated	389
All causes	2021	September	40-49	Unvaccinated	281
All causes	2021	September	40-49	Ever vaccinated	787
All causes	2021	September	50-59	Unvaccinated	507
All causes	2021	September	50-59	Ever vaccinated	2162
All causes	2021	September	60-69	Unvaccinated	593
All causes	2021	September	60-69	Ever vaccinated	4328
All causes	2021	September	70-79	Unvaccinated	626
All causes	2021	September	70-79	Ever vaccinated	9323
All causes	2021	September	80-89	Unvaccinated	632
All causes	2021	September	80-89	Ever vaccinated	13162
All causes	2021	September	90+	Unvaccinated	317
All causes	2021	September	90+	Ever vaccinated	8366
All causes	2021	October	10-39	Unvaccinated	263
All causes	2021	October	10-39	Ever vaccinated	388
All causes	2021	October	40-49	Unvaccinated	251
All causes	2021	October	40-49	Ever vaccinated	748
All causes	2021	October	50-59	Unvaccinated	487
All causes	2021	October	50-59	Ever vaccinated	2236
All causes	2021	October	60-69	Unvaccinated	592
All causes	2021	October	60-69	Ever vaccinated	4698
All causes	2021	October	70-79	Unvaccinated	623
All causes	2021	October	70-79	Ever vaccinated	10061
All causes	2021	October	80-89	Unvaccinated	598
All causes	2021	October	80-89	Ever vaccinated	14752
All causes	2021	October	90+	Unvaccinated	377
All causes	2021	October	90+	Ever vaccinated	9331
All causes	2021	November	10-39	Unvaccinated	224
All causes	2021	November	10-39	Ever vaccinated	360
All causes	2021	November	40-49	Unvaccinated	255
All causes	2021	November	40-49	Ever vaccinated	732
All causes	2021	November	50-59	Unvaccinated	471
All causes	2021	November	50-59	Ever vaccinated	2236
All causes	2021	November	60-69	Unvaccinated	596
All causes	2021	November	60-69	Ever vaccinated	4619
All causes	2021	November	70-79	Unvaccinated	595
All causes	2021	November	70-79	Ever vaccinated	10028
All causes	2021	November	80-89	Unvaccinated	655
All causes	2021	November	80-89	Ever vaccinated	14503
All causes	2021	November	90+	Unvaccinated	362
All causes	2021	November	90+	Ever vaccinated	9514
All causes	2021	December	10-39	Unvaccinated	264
All causes	2021	December	10-39	Ever vaccinated	325
All causes	2021	December	40-49	Unvaccinated	262
All causes	2021	December	40-49	Ever vaccinated	722
All causes	2021	December	50-59	Unvaccinated	504
All causes	2021	December	50-59	Ever vaccinated	2335
All causes	2021	December	60-69	Unvaccinated	615
All causes	2021	December	60-69	Ever vaccinated	4904
All causes	2021	December	70-79	Unvaccinated	715
All causes	2021	December	70-79	Ever vaccinated	10736
All causes	2021	December	80-89	Unvaccinated	760
All causes	2021	December	80-89	Ever vaccinated	15886
All causes	2021	December	90+	Unvaccinated	424
All causes	2021	December	90+	Ever vaccinated	10654
All causes	2022	January	10-39	Unvaccinated	160
All causes	2022	January	10-39	Ever vaccinated	351
All causes	2022	January	40-49	Unvaccinated	207
All causes	2022	January	40-49	Ever vaccinated	666
All causes	2022	January	50-59	Unvaccinated	411
All causes	2022	January	50-59	Ever vaccinated	2162
All causes	2022	January	60-69	Unvaccinated	566
All causes	2022	January	60-69	Ever vaccinated	4659
All causes	2022	January	70-79	Unvaccinated	715
All causes	2022	January	70-79	Ever vaccinated	10154
All causes	2022	January	80-89	Unvaccinated	699
All causes	2022	January	80-89	Ever vaccinated	15617
All causes	2022	January	90+	Unvaccinated	480
All causes	2022	January	90+	Ever vaccinated	10417
All causes	2022	February	10-39	Unvaccinated	115
All causes	2022	February	10-39	Ever vaccinated	251
All causes	2022	February	40-49	Unvaccinated	118
All causes	2022	February	40-49	Ever vaccinated	539
All causes	2022	February	50-59	Unvaccinated	327
All causes	2022	February	50-59	Ever vaccinated	1862
All causes	2022	February	60-69	Unvaccinated	373
All causes	2022	February	60-69	Ever vaccinated	3874
All causes	2022	February	70-79	Unvaccinated	464
All causes	2022	February	70-79	Ever vaccinated	8608
All causes	2022	February	80-89	Unvaccinated	484
All causes	2022	February	80-89	Ever vaccinated	13280
All causes	2022	February	90+	Unvaccinated	311
All causes	2022	February	90+	Ever vaccinated	8875
All causes	2022	March	10-39	Unvaccinated	105
All causes	2022	March	10-39	Ever vaccinated	274
All causes	2022	March	40-49	Unvaccinated	134
All causes	2022	March	40-49	Ever vaccinated	563
All causes	2022	March	50-59	Unvaccinated	279
All causes	2022	March	50-59	Ever vaccinated	1872
All causes	2022	March	60-69	Unvaccinated	385
All causes	2022	March	60-69	Ever vaccinated	4186
All causes	2022	March	70-79	Unvaccinated	476
All causes	2022	March	70-79	Ever vaccinated	9559
All causes	2022	March	80-89	Unvaccinated	521
All causes	2022	March	80-89	Ever vaccinated	14344
All causes	2022	March	90+	Unvaccinated	298
All causes	2022	March	90+	Ever vaccinated	9533
All causes	2022	April	10-39	Unvaccinated	83
All causes	2022	April	10-39	Ever vaccinated	244
All causes	2022	April	40-49	Unvaccinated	109
All causes	2022	April	40-49	Ever vaccinated	521
All causes	2022	April	50-59	Unvaccinated	232
All causes	2022	April	50-59	Ever vaccinated	1827
All causes	2022	April	60-69	Unvaccinated	340
All causes	2022	April	60-69	Ever vaccinated	4010
All causes	2022	April	70-79	Unvaccinated	409
All causes	2022	April	70-79	Ever vaccinated	9290
All causes	2022	April	80-89	Unvaccinated	477
All causes	2022	April	80-89	Ever vaccinated	14311
All causes	2022	April	90+	Unvaccinated	304
All causes	2022	April	90+	Ever vaccinated	9510
All causes	2022	May	10-39	Unvaccinated	69
All causes	2022	May	10-39	Ever vaccinated	224
All causes	2022	May	40-49	Unvaccinated	75
All causes	2022	May	40-49	Ever vaccinated	483
All causes	2022	May	50-59	Unvaccinated	195
All causes	2022	May	50-59	Ever vaccinated	1645
All causes	2022	May	60-69	Unvaccinated	272
All causes	2022	May	60-69	Ever vaccinated	3586
All causes	2022	May	70-79	Unvaccinated	343
All causes	2022	May	70-79	Ever vaccinated	7815
All causes	2022	May	80-89	Unvaccinated	346
All causes	2022	May	80-89	Ever vaccinated	12236
All causes	2022	May	90+	Unvaccinated	217
All causes	2022	May	90+	Ever vaccinated	7608
Deaths involving COVID-19	2021	January	10-39	Unvaccinated	237
Deaths involving COVID-19	2021	January	10-39	Ever vaccinated	4
Deaths involving COVID-19	2021	January	40-49	Unvaccinated	531
Deaths involving COVID-19	2021	January	40-49	Ever vaccinated	4
Deaths involving COVID-19	2021	January	50-59	Unvaccinated	1580
Deaths involving COVID-19	2021	January	50-59	Ever vaccinated	27
Deaths involving COVID-19	2021	January	60-69	Unvaccinated	3338
Deaths involving COVID-19	2021	January	60-69	Ever vaccinated	84
Deaths involving COVID-19	2021	January	70-79	Unvaccinated	6853
Deaths involving COVID-19	2021	January	70-79	Ever vaccinated	416
Deaths involving COVID-19	2021	January	80-89	Unvaccinated	9887
Deaths involving COVID-19	2021	January	80-89	Ever vaccinated	1999
Deaths involving COVID-19	2021	January	90+	Unvaccinated	5938
Deaths involving COVID-19	2021	January	90+	Ever vaccinated	1417
Deaths involving COVID-19	2021	February	10-39	Unvaccinated	117
Deaths involving COVID-19	2021	February	10-39	Ever vaccinated	10
Deaths involving COVID-19	2021	February	40-49	Unvaccinated	259
Deaths involving COVID-19	2021	February	40-49	Ever vaccinated	17
Deaths involving COVID-19	2021	February	50-59	Unvaccinated	802
Deaths involving COVID-19	2021	February	50-59	Ever vaccinated	63
Deaths involving COVID-19	2021	February	60-69	Unvaccinated	1734
Deaths involving COVID-19	2021	February	60-69	Ever vaccinated	197
Deaths involving COVID-19	2021	February	70-79	Unvaccinated	2345
Deaths involving COVID-19	2021	February	70-79	Ever vaccinated	993
Deaths involving COVID-19	2021	February	80-89	Unvaccinated	2521
Deaths involving COVID-19	2021	February	80-89	Ever vaccinated	2481
Deaths involving COVID-19	2021	February	90+	Unvaccinated	1387
Deaths involving COVID-19	2021	February	90+	Ever vaccinated	1782
Deaths involving COVID-19	2021	March	10-39	Unvaccinated	32
Deaths involving COVID-19	2021	March	10-39	Ever vaccinated	4
Deaths involving COVID-19	2021	March	40-49	Unvaccinated	76
Deaths involving COVID-19	2021	March	40-49	Ever vaccinated	9
Deaths involving COVID-19	2021	March	50-59	Unvaccinated	263
Deaths involving COVID-19	2021	March	50-59	Ever vaccinated	64
Deaths involving COVID-19	2021	March	60-69	Unvaccinated	403
Deaths involving COVID-19	2021	March	60-69	Ever vaccinated	181
Deaths involving COVID-19	2021	March	70-79	Unvaccinated	343
Deaths involving COVID-19	2021	March	70-79	Ever vaccinated	429
Deaths involving COVID-19	2021	March	80-89	Unvaccinated	353
Deaths involving COVID-19	2021	March	80-89	Ever vaccinated	805
Deaths involving COVID-19	2021	March	90+	Unvaccinated	176
Deaths involving COVID-19	2021	March	90+	Ever vaccinated	528
Deaths involving COVID-19	2021	April	10-39	Unvaccinated	12
Deaths involving COVID-19	2021	April	10-39	Ever vaccinated	<3
Deaths involving COVID-19	2021	April	40-49	Unvaccinated	20
Deaths involving COVID-19	2021	April	40-49	Ever vaccinated	5
Deaths involving COVID-19	2021	April	50-59	Unvaccinated	46
Deaths involving COVID-19	2021	April	50-59	Ever vaccinated	24
Deaths involving COVID-19	2021	April	60-69	Unvaccinated	93
Deaths involving COVID-19	2021	April	60-69	Ever vaccinated	53
Deaths involving COVID-19	2021	April	70-79	Unvaccinated	49
